set,best_rmse_value,best_params
set1,208.02069551800633,"{'learning_rate': 0.04884229002527428, 'depth': 9, 'n_estimators': 349, 'l2_leaf_reg': 2.9170652812890676, 'subsample': 0.7724465609333777, 'colsample_bylevel': 0.9730844582759471, 'random_strength': 0.7465304729667944, 'min_child_samples': 87, 'bagging_temperature': 6.105574991903207, 'grow_policy': 'Depthwise'}"
set2,212.7812444907054,"{'learning_rate': 0.08038660174958755, 'depth': 4, 'n_estimators': 376, 'l2_leaf_reg': 0.04658844255897126, 'subsample': 0.9852019506965903, 'colsample_bylevel': 0.7793639579914156, 'random_strength': 1.2310486297401932, 'min_child_samples': 25, 'bagging_temperature': 4.482733340646379, 'grow_policy': 'Lossguide'}"
set4,218.2826484562236,"{'learning_rate': 0.014625989704416224, 'depth': 12, 'n_estimators': 383, 'l2_leaf_reg': 1.5927234466920928, 'subsample': 0.6023609642461577, 'colsample_bylevel': 0.8298136743170944, 'random_strength': 0.004718182018951432, 'min_child_samples': 97, 'bagging_temperature': 0.07976278327548492, 'grow_policy': 'Depthwise'}"
set3,801.5566937617837,"{'learning_rate': 0.04921318466539908, 'depth': 12, 'n_estimators': 470, 'l2_leaf_reg': 8.254927645773423, 'subsample': 0.8217820894432841, 'colsample_bylevel': 0.9732768854963069, 'random_strength': 0.11768440328749757, 'min_child_samples': 9, 'bagging_temperature': 3.4557446542347527, 'grow_policy': 'Lossguide'}"
